Date,Instructor_ID,Class_Type,Time_Slot,Session_Duration,3Day_Free_Trial,Subscribers,Pay_Per_Session,Evaluation_Score
2024-01-01,INST019,B.L.T.,Early Morning,30MIN,8,2,12,3.7
2024-01-01,INST014,Hip Hop,Morning,60MIN,2,19,13,3.74
2024-01-01,INST014,Hip Hop,Early Morning,75MIN,5,32,4,3.81
2024-01-01,INST014,Hip Hop,Early Morning,30MIN,3,10,28,3.81
2024-01-01,INST014,Hip Hop,Early Morning,15MIN,3,5,12,3.6
2024-01-01,INST014,Muscle and Hustle,Afternoon,45MIN,2,24,10,3.76
2024-01-01,INST011,Muscle and Hustle,Afternoon,30MIN,8,28,25,4.49
2024-01-01,INST011,Yoga,Evening,45MIN,1,27,11,4.27
2024-01-01,INST011,Muscle and Hustle,Early Morning,60MIN,8,35,18,4.49
2024-01-01,INST011,Yoga,Early Morning,15MIN,3,41,15,4.47
2024-01-01,INST011,Yoga,Morning,45MIN,4,23,7,4.22
2024-01-01,INST011,Muscle and Hustle,Evening,75MIN,7,7,28,4.3
2024-01-01,INST011,Yoga,Early Morning,15MIN,2,17,6,4.13
2024-01-01,INST008,Myobility,Early Morning,45MIN,2,21,35,4.42
2024-01-01,INST008,Myobility,Evening,30MIN,5,37,2,4.28
2024-01-01,INST008,Myobility,Afternoon,45MIN,1,20,5,4.1
2024-01-01,INST009,Hip Hop,Morning,30MIN,0,27,17,3.48
2024-01-01,INST009,Muscle and Hustle,Early Morning,45MIN,4,18,26,3.52
2024-01-01,INST009,Muscle and Hustle,Evening,75MIN,2,7,1,3.14
2024-01-01,INST013,Myobility,Morning,30MIN,4,5,26,4.03
2024-01-01,INST013,B.L.T.,Early Morning,30MIN,8,36,15,4.27
2024-01-01,INST013,B.L.T.,Evening,30MIN,0,30,14,4.12
2024-01-01,INST013,B.L.T.,Morning,15MIN,0,51,8,4.27
2024-01-01,INST015,Aerobics,Evening,30MIN,6,32,2,4.04
2024-01-01,INST015,Aerobics,Evening,45MIN,1,8,8,3.81
2024-01-01,INST015,Hip Hop,Morning,30MIN,5,2,46,4.17
2024-01-01,INST015,Aerobics,Morning,60MIN,1,31,12,4.08
2024-01-01,INST015,Hip Hop,Afternoon,15MIN,6,1,34,4.05
2024-01-01,INST015,Hip Hop,Afternoon,75MIN,9,1,38,4.12
2024-01-02,INST009,Muscle and Hustle,Morning,45MIN,0,32,7,3.43
2024-01-02,INST009,Boxing,Evening,15MIN,5,6,6,3.21
2024-01-02,INST009,Muscle and Hustle,Morning,45MIN,9,25,9,3.47
2024-01-02,INST009,Hip Hop,Early Morning,45MIN,1,24,26,3.55
2024-01-02,INST009,Muscle and Hustle,Afternoon,15MIN,9,6,21,3.4
2024-01-02,INST009,Muscle and Hustle,Afternoon,75MIN,0,7,24,3.35
2024-01-02,INST012,Yoga,Afternoon,60MIN,2,22,8,3.8
2024-01-02,INST012,Pilates,Morning,30MIN,1,21,8,3.78
2024-01-02,INST012,Yoga,Evening,30MIN,6,36,10,4
2024-01-02,INST012,Pilates,Evening,75MIN,9,30,4,3.91
2024-01-02,INST012,Meditation,Afternoon,45MIN,0,27,12,3.87
2024-01-02,INST019,B.L.T.,Afternoon,60MIN,5,10,15,3.78
2024-01-02,INST019,B.L.T.,Evening,30MIN,7,43,4,4.02
2024-01-02,INST019,B.L.T.,Morning,15MIN,6,3,8,3.65
2024-01-02,INST019,B.L.T.,Afternoon,15MIN,3,13,3,3.67
2024-01-02,INST016,Yoga,Afternoon,30MIN,6,40,12,4.18
2024-01-02,INST016,B.L.T.,Morning,15MIN,1,27,5,3.93
2024-01-02,INST016,B.L.T.,Morning,60MIN,2,16,33,4.11
2024-01-02,INST016,Yoga,Early Morning,60MIN,9,25,3,3.97
2024-01-02,INST008,Myobility,Evening,60MIN,4,25,20,4.33
2024-01-02,INST008,Muscle and Hustle,Morning,30MIN,8,11,26,4.29
2024-01-02,INST008,Myobility,Early Morning,60MIN,9,1,7,4.01
2024-01-02,INST008,Myobility,Morning,75MIN,1,15,1,4.01
2024-01-02,INST008,Muscle and Hustle,Early Morning,75MIN,7,0,41,4.32
2024-01-02,INST008,Myobility,Early Morning,60MIN,6,4,26,4.2
2024-01-02,INST006,B.L.T.,Afternoon,60MIN,6,2,28,3.6
2024-01-02,INST006,B.L.T.,Evening,30MIN,9,2,12,3.47
2024-01-02,INST006,B.L.T.,Evening,45MIN,8,13,15,3.6
2024-01-02,INST006,TRX Circuit Party,Afternoon,75MIN,4,17,23,3.68
2024-01-02,INST020,TRX Circuit Party,Afternoon,60MIN,9,9,5,4.15
2024-01-02,INST020,Boxing,Afternoon,30MIN,6,17,21,4.36
2024-01-02,INST020,Hip Hop,Afternoon,45MIN,4,22,33,4.51
2024-01-02,INST020,Boxing,Morning,30MIN,5,11,13,4.21
2024-01-02,INST020,TRX Circuit Party,Evening,30MIN,3,24,33,4.52
2024-01-02,INST020,TRX Circuit Party,Early Morning,60MIN,9,11,9,4.21
2024-01-02,INST007,Meditation,Evening,60MIN,0,32,15,3.55
2024-01-02,INST007,Meditation,Early Morning,75MIN,0,5,3,3.16
2024-01-02,INST007,Meditation,Evening,15MIN,3,32,12,3.55
2024-01-02,INST007,Meditation,Afternoon,60MIN,1,14,6,3.29
2024-01-02,INST007,Meditation,Morning,60MIN,0,34,15,3.57
2024-01-02,INST002,B.L.T.,Evening,60MIN,2,0,29,4.15
2024-01-02,INST002,B.L.T.,Evening,45MIN,7,23,28,4.42
2024-01-02,INST002,B.L.T.,Morning,60MIN,1,50,2,4.37
2024-01-02,INST002,B.L.T.,Early Morning,60MIN,6,24,31,4.45
2024-01-02,INST017,Muscle and Hustle,Early Morning,15MIN,7,28,11,4.06
2024-01-02,INST017,Muscle and Hustle,Evening,30MIN,9,25,12,4.06
2024-01-02,INST017,Pilates,Morning,15MIN,2,39,15,4.16
2024-01-02,INST017,Pilates,Evening,45MIN,3,14,4,3.81
2024-01-02,INST017,Meditation,Evening,45MIN,7,18,2,3.87
2024-01-02,INST017,Pilates,Evening,45MIN,4,31,10,4.05
2024-01-02,INST017,Pilates,Afternoon,15MIN,4,17,4,3.85
2024-01-02,INST014,Meditation,Early Morning,45MIN,2,28,11,3.81
2024-01-02,INST014,Muscle and Hustle,Early Morning,15MIN,0,31,2,3.73
2024-01-02,INST014,Meditation,Morning,30MIN,6,28,7,3.81
2024-01-02,INST014,Meditation,Morning,30MIN,0,17,8,3.65
2024-01-02,INST014,Muscle and Hustle,Evening,15MIN,6,2,19,3.67
2024-01-02,INST014,Muscle and Hustle,Evening,45MIN,0,48,1,3.89
2024-01-02,INST010,B.L.T.,Early Morning,30MIN,8,21,8,3.85
2024-01-02,INST010,Myobility,Early Morning,75MIN,2,16,10,3.76
2024-01-02,INST010,B.L.T.,Afternoon,75MIN,8,11,7,3.74
2024-01-02,INST010,Myobility,Evening,30MIN,6,11,5,3.7
2024-01-02,INST010,B.L.T.,Morning,15MIN,3,18,8,3.77
2024-01-02,INST003,TRX Circuit Party,Early Morning,45MIN,4,10,13,3.35
2024-01-02,INST003,Aerobics,Afternoon,15MIN,8,20,23,3.59
2024-01-02,INST003,Myobility,Early Morning,60MIN,8,6,22,3.44
2024-01-02,INST003,Aerobics,Early Morning,60MIN,9,4,11,3.32
2024-01-02,INST003,Myobility,Evening,30MIN,6,28,17,3.59
2024-01-02,INST005,TRX Circuit Party,Afternoon,75MIN,1,10,14,3.73
2024-01-02,INST005,Aerobics,Evening,60MIN,8,9,9,3.74
2024-01-02,INST005,Aerobics,Afternoon,30MIN,5,6,22,3.81
2024-01-02,INST005,TRX Circuit Party,Afternoon,60MIN,7,11,10,3.76
2024-01-02,INST005,TRX Circuit Party,Evening,75MIN,1,8,13,3.7
2024-01-02,INST005,Aerobics,Afternoon,15MIN,4,5,8,3.65
2024-01-02,INST015,Hip Hop,Morning,60MIN,7,15,15,4.01
2024-01-02,INST015,Aerobics,Afternoon,45MIN,5,3,6,3.78
2024-01-02,INST015,Hip Hop,Afternoon,75MIN,6,24,5,3.99
2024-01-02,INST015,Hip Hop,Early Morning,75MIN,3,5,10,3.82
2024-01-02,INST015,Aerobics,Early Morning,30MIN,2,43,8,4.17
2024-01-02,INST015,Hip Hop,Evening,75MIN,9,25,14,4.12
2024-01-02,INST004,Hip Hop,Evening,60MIN,6,2,33,4.37
2024-01-02,INST004,B.L.T.,Early Morning,45MIN,1,27,6,4.3
2024-01-02,INST004,B.L.T.,Evening,30MIN,7,0,36,4.39
2024-01-02,INST004,Hip Hop,Afternoon,60MIN,8,11,2,4.17
2024-01-02,INST001,Meditation,Evening,75MIN,7,33,8,4.36
2024-01-02,INST001,Meditation,Afternoon,45MIN,4,39,14,4.45
2024-01-02,INST001,Aerobics,Early Morning,30MIN,4,35,4,4.31
2024-01-02,INST001,Meditation,Early Morning,75MIN,2,42,17,4.49
2024-01-02,INST001,Aerobics,Morning,30MIN,8,16,15,4.27
2024-01-02,INST001,Yoga,Afternoon,75MIN,0,23,11,4.22
2024-01-02,INST011,Yoga,Early Morning,30MIN,6,25,6,4.25
2024-01-02,INST011,Yoga,Morning,45MIN,9,21,0,4.18
2024-01-02,INST011,Muscle and Hustle,Afternoon,15MIN,5,11,10,4.14
2024-01-02,INST011,Muscle and Hustle,Afternoon,15MIN,4,7,36,4.35
2024-01-02,INST011,Muscle and Hustle,Afternoon,30MIN,3,25,24,4.4
2024-01-02,INST011,Yoga,Evening,60MIN,5,35,11,4.39
2024-01-02,INST018,Yoga,Morning,15MIN,0,18,8,4.02
2024-01-02,INST018,Yoga,Evening,15MIN,2,28,10,4.16
2024-01-02,INST018,Muscle and Hustle,Evening,60MIN,2,4,32,4.14
2024-01-02,INST018,Muscle and Hustle,Early Morning,30MIN,1,9,37,4.23
2024-01-02,INST018,Muscle and Hustle,Afternoon,15MIN,1,44,8,4.29
2024-01-02,INST018,Muscle and Hustle,Early Morning,75MIN,6,7,8,3.97
2024-01-02,INST013,Myobility,Evening,60MIN,5,0,51,4.24
2024-01-02,INST013,B.L.T.,Afternoon,75MIN,0,10,27,4.05
2024-01-02,INST013,B.L.T.,Afternoon,75MIN,9,30,2,4.09
2024-01-02,INST013,Myobility,Early Morning,30MIN,5,26,15,4.14
2024-01-02,INST013,Myobility,Afternoon,15MIN,0,1,29,3.98
2024-01-02,INST013,Myobility,Morning,30MIN,0,20,39,4.27
2024-01-03,INST002,B.L.T.,Evening,15MIN,0,9,14,4.07
2024-01-03,INST002,B.L.T.,Morning,45MIN,4,22,30,4.4
2024-01-03,INST002,B.L.T.,Early Morning,15MIN,4,7,8,4.03
2024-01-03,INST002,B.L.T.,Afternoon,75MIN,9,11,8,4.12
2024-01-03,INST002,B.L.T.,Evening,15MIN,4,13,20,4.21
2024-01-03,INST016,Yoga,Afternoon,60MIN,0,16,8,3.84
2024-01-03,INST016,Hip Hop,Evening,60MIN,3,0,26,3.89
2024-01-03,INST016,B.L.T.,Early Morning,60MIN,1,27,26,4.14
2024-01-03,INST016,Yoga,Afternoon,75MIN,7,37,9,4.13
2024-01-03,INST016,Hip Hop,Early Morning,15MIN,9,33,4,4.06
2024-01-03,INST016,B.L.T.,Early Morning,45MIN,1,11,4,3.76
2024-01-03,INST007,Aerobics,Evening,45MIN,8,0,4,3.2
2024-01-03,INST007,Yoga,Evening,60MIN,4,25,7,3.44
2024-01-03,INST007,Yoga,Evening,45MIN,1,16,7,3.32
2024-01-03,INST007,Meditation,Afternoon,45MIN,5,35,10,3.58
2024-01-03,INST007,Aerobics,Early Morning,30MIN,2,1,26,3.37
2024-01-03,INST007,Meditation,Evening,60MIN,7,34,8,3.57
2024-01-03,INST013,B.L.T.,Early Morning,60MIN,6,41,5,4.2
2024-01-03,INST013,Myobility,Afternoon,45MIN,4,28,3,4.03
2024-01-03,INST013,B.L.T.,Early Morning,60MIN,9,7,2,3.86
2024-01-03,INST013,Myobility,Evening,60MIN,9,16,10,4.03
2024-01-03,INST013,Myobility,Morning,75MIN,7,4,28,4.07
2024-01-03,INST009,Muscle and Hustle,Evening,60MIN,5,1,43,3.53
2024-01-03,INST009,Boxing,Morning,45MIN,2,8,12,3.26
2024-01-03,INST009,Muscle and Hustle,Morning,45MIN,6,15,14,3.39
2024-01-03,INST009,Hip Hop,Evening,15MIN,5,15,26,3.5
2024-01-03,INST009,Boxing,Morning,30MIN,3,6,7,3.2
2024-01-03,INST019,Meditation,Early Morning,60MIN,2,10,3,3.63
2024-01-03,INST019,Meditation,Morning,60MIN,1,33,14,3.96
2024-01-03,INST019,B.L.T.,Afternoon,60MIN,4,17,17,3.86
2024-01-03,INST019,B.L.T.,Evening,30MIN,9,21,17,3.95
2024-01-03,INST020,TRX Circuit Party,Evening,30MIN,5,17,22,4.36
2024-01-03,INST020,TRX Circuit Party,Early Morning,45MIN,8,9,6,4.15
2024-01-03,INST020,B.L.T.,Afternoon,75MIN,1,48,1,4.42
2024-01-03,INST020,Hip Hop,Early Morning,45MIN,9,12,13,4.26
2024-01-03,INST020,Hip Hop,Evening,30MIN,8,25,18,4.43
2024-01-03,INST020,B.L.T.,Evening,45MIN,7,29,9,4.37
2024-01-03,INST011,Yoga,Evening,45MIN,9,26,3,4.26
2024-01-03,INST011,Muscle and Hustle,Morning,75MIN,7,0,10,4.05
2024-01-03,INST011,Yoga,Morning,60MIN,3,42,16,4.49
2024-01-03,INST011,Muscle and Hustle,Afternoon,60MIN,9,27,8,4.32
2024-01-03,INST011,Yoga,Evening,30MIN,7,32,7,4.34
2024-01-03,INST004,B.L.T.,Morning,75MIN,7,6,38,4.47
2024-01-03,INST004,Hip Hop,Early Morning,60MIN,6,13,2,4.17
2024-01-03,INST004,B.L.T.,Evening,15MIN,9,5,26,4.36
2024-01-03,INST004,B.L.T.,Evening,30MIN,2,14,46,4.58
2024-01-03,INST004,B.L.T.,Evening,45MIN,6,36,7,4.45
2024-01-03,INST004,Hip Hop,Evening,15MIN,9,38,6,4.49
2024-01-03,INST017,Muscle and Hustle,Evening,45MIN,6,21,7,3.94
2024-01-03,INST017,Muscle and Hustle,Evening,75MIN,8,16,22,4.06
2024-01-03,INST017,Meditation,Early Morning,30MIN,3,20,6,3.89
2024-01-03,INST017,Muscle and Hustle,Afternoon,30MIN,9,2,6,3.77
2024-01-03,INST017,Muscle and Hustle,Early Morning,60MIN,3,21,12,3.96
2024-01-03,INST005,TRX Circuit Party,Evening,30MIN,7,22,26,4.03
2024-01-03,INST005,Aerobics,Early Morning,15MIN,9,8,18,3.83
2024-01-03,INST005,Aerobics,Early Morning,45MIN,3,9,7,3.67
2024-01-03,INST015,Hip Hop,Evening,30MIN,7,44,6,4.21
2024-01-03,INST015,Aerobics,Evening,75MIN,4,0,17,3.85
2024-01-03,INST015,Aerobics,Morning,30MIN,4,5,32,4.05
2024-01-03,INST015,Aerobics,Evening,75MIN,6,3,12,3.85
2024-01-03,INST015,Aerobics,Evening,75MIN,7,8,37,4.16
2024-01-03,INST010,B.L.T.,Evening,45MIN,2,7,6,3.63
2024-01-03,INST010,Myobility,Afternoon,15MIN,5,1,36,3.9
2024-01-03,INST010,Myobility,Afternoon,75MIN,3,14,20,3.85
2024-01-03,INST010,B.L.T.,Early Morning,60MIN,5,0,14,3.67
2024-01-03,INST012,Pilates,Evening,45MIN,7,35,8,3.98
2024-01-03,INST012,Yoga,Evening,15MIN,5,11,1,3.65
2024-01-03,INST012,Hip Hop,Evening,75MIN,2,3,11,3.64
2024-01-03,INST012,Pilates,Afternoon,45MIN,3,37,14,4.02
2024-01-03,INST008,Muscle and Hustle,Afternoon,15MIN,0,25,6,4.15
2024-01-03,INST008,Myobility,Evening,45MIN,5,4,24,4.17
2024-01-03,INST008,Myobility,Afternoon,30MIN,3,12,15,4.14
2024-01-03,INST014,Hip Hop,Morning,15MIN,0,5,9,3.54
2024-01-03,INST014,Meditation,Afternoon,60MIN,4,16,3,3.63
2024-01-03,INST014,Meditation,Afternoon,45MIN,0,25,11,3.76
2024-01-03,INST001,Aerobics,Morning,30MIN,8,10,20,4.26
2024-01-03,INST001,Meditation,Afternoon,30MIN,7,24,4,4.23
2024-01-03,INST001,Meditation,Evening,45MIN,0,42,19,4.49
2024-01-03,INST001,Meditation,Early Morning,60MIN,4,23,7,4.22
2024-01-03,INST001,B.L.T.,Morning,30MIN,8,1,21,4.18
2024-01-03,INST001,Yoga,Afternoon,15MIN,2,21,8,4.19
2024-01-03,INST006,Hip Hop,Afternoon,75MIN,7,1,1,3.33
2024-01-03,INST006,Hip Hop,Evening,45MIN,7,10,19,3.6
2024-01-03,INST006,Myobility,Evening,45MIN,2,20,4,3.5
2024-01-03,INST006,Hip Hop,Morning,60MIN,2,10,2,3.38
2024-01-03,INST006,Hip Hop,Afternoon,75MIN,9,3,14,3.5
2024-01-03,INST006,TRX Circuit Party,Early Morning,60MIN,9,16,15,3.64
2024-01-03,INST003,Aerobics,Early Morning,30MIN,7,7,15,3.37
2024-01-03,INST003,TRX Circuit Party,Early Morning,45MIN,2,9,13,3.32
2024-01-03,INST003,Aerobics,Early Morning,15MIN,6,14,29,3.57
2024-01-03,INST003,B.L.T.,Morning,60MIN,8,16,25,3.57
2024-01-03,INST003,Aerobics,Afternoon,75MIN,6,1,42,3.57
2024-01-03,INST018,Muscle and Hustle,Evening,15MIN,4,7,21,4.08
2024-01-03,INST018,Yoga,Evening,45MIN,5,15,2,3.98
2024-01-03,INST018,Muscle and Hustle,Afternoon,30MIN,2,7,14,3.99
2024-01-03,INST018,Yoga,Evening,30MIN,0,23,11,4.1
2024-01-03,INST018,Yoga,Early Morning,45MIN,3,34,12,4.25
2024-01-03,INST018,Yoga,Early Morning,60MIN,4,39,14,4.33
2024-01-04,INST014,Muscle and Hustle,Morning,45MIN,3,21,29,3.93
2024-01-04,INST014,Muscle and Hustle,Early Morning,45MIN,9,0,3,3.52
2024-01-04,INST014,Muscle and Hustle,Morning,75MIN,0,21,2,3.63
2024-01-04,INST014,Hip Hop,Morning,15MIN,3,12,12,3.67
2024-01-04,INST014,Meditation,Morning,15MIN,3,28,10,3.81
2024-01-04,INST014,Hip Hop,Morning,75MIN,7,4,36,3.87
2024-01-04,INST014,Hip Hop,Early Morning,30MIN,3,11,33,3.87
2024-01-04,INST016,B.L.T.,Morning,60MIN,2,2,11,3.75
2024-01-04,INST016,Yoga,Early Morning,15MIN,4,32,10,4.06
2024-01-04,INST016,Hip Hop,Evening,45MIN,9,7,11,3.87
2024-01-04,INST016,Yoga,Morning,75MIN,9,32,5,4.06
2024-01-04,INST020,Hip Hop,Evening,15MIN,8,0,32,4.32
2024-01-04,INST020,Boxing,Evening,60MIN,3,12,17,4.24
2024-01-04,INST020,B.L.T.,Early Morning,60MIN,4,4,13,4.13
2024-01-04,INST008,Myobility,Early Morning,45MIN,9,16,1,4.1
2024-01-04,INST008,Myobility,Early Morning,30MIN,9,8,35,4.36
2024-01-04,INST008,Muscle and Hustle,Afternoon,60MIN,7,40,6,4.37
2024-01-04,INST008,Muscle and Hustle,Evening,75MIN,6,0,38,4.28
2024-01-04,INST008,Muscle and Hustle,Early Morning,15MIN,9,22,12,4.27
2024-01-04,INST008,Myobility,Evening,60MIN,5,6,6,4.01
2024-01-04,INST005,Aerobics,Afternoon,60MIN,4,14,12,3.78
2024-01-04,INST005,Aerobics,Evening,15MIN,4,8,10,3.7
2024-01-04,INST005,Aerobics,Evening,45MIN,3,20,1,3.72
2024-01-04,INST005,Aerobics,Afternoon,30MIN,8,34,3,3.93
2024-01-04,INST019,Meditation,Early Morning,15MIN,9,30,4,3.91
2024-01-04,INST019,B.L.T.,Morning,75MIN,1,26,19,3.94
2024-01-04,INST019,Meditation,Afternoon,15MIN,2,23,8,3.81
2024-01-04,INST019,B.L.T.,Afternoon,60MIN,8,6,28,3.9
2024-01-04,INST019,Meditation,Afternoon,75MIN,4,13,2,3.67
2024-01-04,INST002,B.L.T.,Early Morning,75MIN,0,28,30,4.42
2024-01-04,INST002,B.L.T.,Morning,60MIN,9,17,18,4.28
2024-01-04,INST002,B.L.T.,Early Morning,45MIN,0,17,26,4.27
2024-01-04,INST002,B.L.T.,Early Morning,45MIN,3,19,15,4.21
2024-01-04,INST002,B.L.T.,Evening,75MIN,7,17,20,4.28
2024-01-04,INST006,Hip Hop,Afternoon,15MIN,6,2,1,3.33
2024-01-04,INST006,TRX Circuit Party,Afternoon,45MIN,0,12,20,3.56
2024-01-04,INST006,Myobility,Afternoon,15MIN,7,18,20,3.69
2024-01-04,INST006,TRX Circuit Party,Morning,75MIN,0,12,19,3.55
2024-01-04,INST006,B.L.T.,Early Morning,30MIN,5,3,2,3.34
2024-01-04,INST006,Hip Hop,Early Morning,75MIN,5,3,39,3.71
2024-01-04,INST012,Pilates,Afternoon,75MIN,1,24,10,3.83
2024-01-04,INST012,Meditation,Early Morning,30MIN,6,28,7,3.89
2024-01-04,INST012,Hip Hop,Early Morning,15MIN,1,6,45,4
2024-01-04,INST012,Pilates,Evening,60MIN,7,33,8,3.96
2024-01-04,INST001,Aerobics,Early Morning,45MIN,5,14,7,4.14
2024-01-04,INST001,Yoga,Early Morning,45MIN,2,14,4,4.08
2024-01-04,INST001,Yoga,Afternoon,15MIN,7,36,9,4.4
2024-01-04,INST001,Aerobics,Evening,75MIN,7,13,41,4.49
2024-01-04,INST001,B.L.T.,Early Morning,30MIN,7,45,5,4.45
2024-01-04,INST010,B.L.T.,Morning,45MIN,3,19,10,3.8
2024-01-04,INST010,Myobility,Afternoon,15MIN,6,15,17,3.86
2024-01-04,INST010,B.L.T.,Evening,60MIN,6,9,19,3.82
2024-01-04,INST010,B.L.T.,Morning,60MIN,0,18,2,3.68
2024-01-04,INST010,B.L.T.,Afternoon,15MIN,3,28,4,3.83
2024-01-04,INST013,Myobility,Evening,15MIN,1,0,36,4.05
2024-01-04,INST013,B.L.T.,Early Morning,45MIN,3,10,7,3.88
2024-01-04,INST013,B.L.T.,Evening,60MIN,2,6,8,3.84
2024-01-04,INST013,B.L.T.,Early Morning,60MIN,3,4,22,3.97
2024-01-04,INST013,Myobility,Afternoon,30MIN,8,33,11,4.2
2024-01-04,INST013,B.L.T.,Afternoon,15MIN,3,21,35,4.27
2024-01-04,INST017,Meditation,Morning,60MIN,0,30,13,4.03
2024-01-04,INST017,Muscle and Hustle,Evening,75MIN,7,22,22,4.11
2024-01-04,INST017,Meditation,Evening,45MIN,0,37,17,4.14
2024-01-04,INST017,Muscle and Hustle,Afternoon,30MIN,8,7,19,3.94
2024-01-04,INST017,Muscle and Hustle,Early Morning,75MIN,5,10,9,3.84
2024-01-04,INST018,Muscle and Hustle,Afternoon,45MIN,9,9,1,3.95
2024-01-04,INST018,Muscle and Hustle,Morning,15MIN,1,22,29,4.28
