Date,Start_station,End_station,Duration,Bike_ID
12/7/2019,Vermont / Venice,Figueroa / Durango,6,610
9/5/2019,McConnell / McConnell,Runway / Rowena,28,628
12/5/2019,Durango / Charnock,Beatrice / Ballona,31,494
12/1/2019,Overland / Olympic,Beatrice / Ballona,30,277
11/20/2019,McConnell / McConnell,Runway / Rowena,21,583
10/20/2019,Runway / Rowena,Figueroa / Culver,72,441
9/6/2019,Fountain / Figueroa,Playa / Overland,231,321
12/2/2019,Berendo / Beatrice,Berendo / Beatrice,219,512
9/9/2019,Rowena / Rose,Overland / Olympic,37,598
12/6/2019,Runway / Rowena,Runway / Rowena,148,435
12/26/2019,Sepulveda / Runway,Vista / Virgil,34,621
9/27/2019,Beatrice / Ballona,Durango / Centinela,11,494
10/16/2019,Exposition / Culver,Exposition / Culver,387,386
11/21/2019,Olympic / McConnell,Overland / Olympic,16,395
11/22/2019,Wilcox / Vista,Virgil / Vermont,11,267
11/6/2019,Charnock / Centinela,Charnock / Centinela,24,89
10/13/2019,Charnock / Beatrice,Wilcox / Vista,28,421
11/22/2019,Overland / McConnell,Ballona / Ardmore,14,318
10/21/2019,Runway / Rowena,Overland / Olympic,25,459
10/25/2019,Wilcox / Vista,Virgil / Vermont,12,503
12/25/2019,Rowena / Rose,Rowena / Rose,420,524
9/13/2019,Fountain / Figueroa,Vista / Virgil,45,279
12/16/2019,Westlawn / Vista,Overland / Olympic,21,625
10/8/2019,McConnell / Inglewood,Inglewood / Hollywood,25,157
9/29/2019,Durango / Centinela,Plaza / Overland,19,494
10/3/2019,Overland / McConnell,Overland / Olympic,31,310
11/18/2019,Runway / Rowena,Playa / Overland,18,327
9/22/2019,Hyperion / Hollywood,Rowena / Rose,7,637
10/5/2019,Exposition / Culver,Exposition / Culver,249,521
9/7/2019,Rose / Rodney,Plaza / Overland,14,366
10/9/2019,Venice / Sepulveda,Rodney / Playa,26,638
9/23/2019,Charnock / Beatrice,Overland / McConnell,21,515
10/11/2019,McConnell / McConnell,Playa / Overland,41,361
11/14/2019,Runway / Rowena,Exposition / Culver,13,565
11/23/2019,Rowena / Rodney,Venice / Sepulveda,20,96
9/20/2019,Beatrice / Ballona,McConnell / Inglewood,32,558
12/12/2019,Beatrice / Ballona,McConnell / Inglewood,30,461
11/6/2019,Overland / McConnell,Beatrice / Ballona,26,515
12/2/2019,Overland / McConnell,Beatrice / Ballona,25,447
9/25/2019,Fountain / Durango,Runway / Rowena,17,590
12/23/2019,Durango / Centinela,Fountain / Figueroa,11,470
12/11/2019,Beatrice / 6th,Vista / Virgil,12,615
12/29/2019,Culver / Berendo,Sepulveda / Runway,4,345
12/3/2019,Playa / Overland,Runway / Rowena,338,326
10/21/2019,Fountain / Durango,Rowena / Rose,38,604
9/2/2019,Figueroa / Durango,Fountain / Figueroa,5,393
12/13/2019,McConnell / Inglewood,Beatrice / Ballona,20,558
12/7/2019,Plaza / Playa,Plaza / Playa,32,155
12/23/2019,Playa / Overland,Runway / Rowena,8,376
11/29/2019,Playa / Overland,Runway / Rowena,8,339
12/22/2019,Overland / Olympic,Durango / Charnock,11,272
11/28/2019,Culver / Berendo,Berendo / Beatrice,11,362
9/5/2019,Hyperion / Hollywood,Exposition / Culver,15,281
10/12/2019,Berendo / Ballona,Beatrice / Ardmore,7,149
10/14/2019,McConnell / McConnell,Overland / McConnell,36,318
11/17/2019,Beatrice / Ballona,Durango / Centinela,13,539
12/23/2019,Beatrice / Ballona,Durango / Centinela,13,558
12/28/2019,McConnell / McConnell,Overland / McConnell,33,602
11/6/2019,Fountain / Figueroa,Berendo / Beatrice,13,393
10/29/2019,McConnell / McConnell,Figueroa / Culver,18,395
11/23/2019,Vista / Virgil,Playa / Olympic,16,344
12/27/2019,Beatrice / Ballona,Ballona / Ardmore,26,385
11/19/2019,Runway / Rowena,Playa / Overland,31,357
12/2/2019,Wilcox / Vista,Virgil / Vermont,10,484
11/26/2019,Runway / Rowena,Overland / Olympic,10,320
11/9/2019,Runway / Rowena,McConnell / Inglewood,30,339
9/3/2019,Sepulveda / Rowena,Venice / Runway,10,245
9/15/2019,Rodney / Playa,Sepulveda / Rowena,15,640
9/23/2019,Playa / Overland,Playa / Overland,4,284
10/22/2019,Rodney / Playa,Sepulveda / Rowena,12,58
12/2/2019,Rodney / Playa,Sepulveda / Rowena,12,61
9/16/2019,McConnell / McConnell,Overland / Olympic,23,627
9/7/2019,McConnell / Inglewood,McConnell / Inglewood,99,268
11/15/2019,Culver / Charnock,Sepulveda / Runway,15,620
11/10/2019,Runway / Rowena,McConnell / McConnell,16,559
9/29/2019,Olympic / McConnell,Figueroa / Culver,23,393
10/27/2019,Berendo / Ardmore,Berendo / Ardmore,25,40
11/12/2019,Berendo / Ardmore,Berendo / Ardmore,24,90
10/29/2019,Westlawn / Virgil,Rowena / Rodney,11,64
10/7/2019,Sepulveda / Runway,Rowena / Rose,13,277
12/27/2019,Hollywood / Fountain,Hollywood / Fountain,82,607
9/24/2019,Hollywood / Fountain,Hollywood / Fountain,82,350
12/9/2019,McConnell / McConnell,Overland / Olympic,26,411
11/28/2019,Runway / Rowena,Playa / Overland,15,476
11/8/2019,Plaza / Playa,Beatrice / Ardmore,20,27
10/10/2019,Beatrice / Ballona,Overland / Olympic,16,399
11/27/2019,Plaza / Overland,Overland / Olympic,58,499
12/17/2019,Virgil / Vermont,Overland / Olympic,49,506
11/11/2019,Vermont / Venice,Rose / Rodney,1425,427
11/29/2019,Overland / Olympic,Figueroa / Durango,51,631
11/19/2019,Overland / Olympic,Figueroa / Durango,49,494
9/4/2019,McConnell / McConnell,Overland / Olympic,22,318
12/30/2019,Beatrice / Ballona,Olympic / McConnell,16,381
11/26/2019,McConnell / McConnell,Overland / Olympic,16,433
11/18/2019,Plaza / Playa,Plaza / Playa,72,10
9/19/2019,Sepulveda / Rowena,Vista / Vermont,68,246
9/19/2019,Durango / Charnock,Rowena / Rose,14,556
9/13/2019,Culver / Berendo,Sepulveda / Runway,5,594
11/8/2019,Fountain / Exposition,Rodney / Plaza,5,228
9/29/2019,Wilcox / Vista,Wilcox / Vista,40,623
10/12/2019,Overland / Olympic,Runway / Rowena,8,320
9/2/2019,Hollywood / Fountain,Culver / Charnock,16,577
12/24/2019,Charnock / Beatrice,Beatrice / 6th,6,561
11/6/2019,Overland / Olympic,Fountain / Durango,20,636
11/22/2019,Venice / Sepulveda,Rodney / Playa,33,653
9/18/2019,Plaza / Overland,Beatrice / 6th,16,590
10/28/2019,Runway / Rowena,Runway / Rowena,139,576
10/8/2019,Wilcox / Vista,Sepulveda / Runway,15,407
10/27/2019,Beatrice / Ardmore,Plaza / Playa,30,123
12/2/2019,Overland / Olympic,Rowena / Rose,26,602
12/6/2019,Olympic / McConnell,Overland / Olympic,36,459
11/21/2019,Culver / Berendo,Culver / Berendo,72,554
11/3/2019,Ballona / 6th,Venice / Sepulveda,16,653
9/14/2019,Berendo / Beatrice,Berendo / Beatrice,5,542
10/26/2019,Overland / Olympic,Olympic / McConnell,18,433
11/15/2019,Overland / Olympic,Wilcox / Vista,30,476
9/24/2019,McConnell / McConnell,Overland / McConnell,15,597
12/16/2019,Overland / Olympic,Charnock / Beatrice,21,399
10/12/2019,Fountain / Durango,Overland / Olympic,22,411
10/3/2019,Rose / Rodney,Figueroa / Durango,7,351
12/4/2019,Overland / Olympic,Runway / Rowena,12,568
9/6/2019,Rowena / Rose,Rowena / Rose,111,383
11/21/2019,Olympic / McConnell,Berendo / Beatrice,32,433
9/22/2019,Venice / Runway,Ballona / 6th,12,245
9/1/2019,Venice / Runway,Ballona / 6th,12,680
10/10/2019,Runway / Rowena,Durango / Centinela,21,593
10/3/2019,Vermont / Sepulveda,Vermont / Sepulveda,38,188
12/28/2019,Rowena / Rose,Rowena / Rose,83,278
12/3/2019,Ballona / 6th,Venice / Sepulveda,14,86
9/22/2019,Vermont / Venice,Overland / Olympic,23,569
9/2/2019,Exposition / Culver,Overland / Olympic,17,267
12/25/2019,Fountain / Figueroa,Rose / Rodney,4200,501
11/14/2019,Playa / Overland,Virgil / Vermont,11,511
9/8/2019,Figueroa / Durango,Wilcox / Vista,9,466
12/7/2019,Virgil / Vermont,Beatrice / 6th,36,553
12/18/2019,Figueroa / Durango,Charnock / Beatrice,11,507
10/27/2019,Westlawn / Virgil,Venice / Runway,5,53
9/15/2019,Runway / Rowena,Wilcox / Vista,23,624
10/24/2019,Culver / Berendo,Figueroa / Culver,9,518
10/5/2019,Charnock / Beatrice,Fountain / Figueroa,19,595
11/28/2019,Overland / Olympic,Virgil / Vermont,17,356
12/24/2019,Overland / Olympic,Hyperion / Hollywood,11,267
10/23/2019,Exposition / Charnock,Inglewood / Hyperion,872,100
11/10/2019,Exposition / Charnock,Inglewood / Hyperion,871,160
12/12/2019,Overland / McConnell,Beatrice / 6th,15,530
9/26/2019,Charnock / Beatrice,Beatrice / 6th,10,324
10/15/2019,Vista / Vermont,Rodney / Playa,14,46
12/4/2019,Vista / Vermont,Rodney / Playa,15,246
9/7/2019,Runway / Rowena,Beatrice / Ballona,25,415
11/30/2019,McConnell / McConnell,Westlawn / Vista,120,369
10/24/2019,Runway / Rowena,Overland / Olympic,55,371
11/12/2019,Beatrice / Ballona,Beatrice / Ballona,97,280
11/16/2019,Olympic / McConnell,Westlawn / Vista,105,438
9/19/2019,Rodney / Playa,Vista / Vermont,7,40
12/8/2019,Overland / Olympic,Runway / Rowena,10,313
11/22/2019,Hollywood / Fountain,Berendo / Beatrice,44,604
10/20/2019,Hollywood / Fountain,Berendo / Beatrice,42,405
9/30/2019,Playa / Overland,Runway / Rowena,32,354
12/15/2019,Playa / Overland,Runway / Rowena,30,406
11/5/2019,Berendo / Beatrice,Hollywood / Fountain,22,400
12/3/2019,Hollywood / Fountain,Durango / Charnock,9,542
10/2/2019,Hollywood / Fountain,Durango / Charnock,9,375
9/19/2019,Beatrice / Ballona,Beatrice / Ballona,51,280
9/18/2019,Sepulveda / Runway,Sepulveda / Runway,34,464
9/23/2019,Figueroa / Durango,Rose / Rodney,6,570
9/7/2019,Wilcox / Vista,Figueroa / Durango,10,512
12/23/2019,Charnock / Beatrice,Beatrice / Ballona,20,360
9/28/2019,Playa / Overland,Overland / Olympic,23,313
11/19/2019,Olympic / McConnell,Sepulveda / Runway,5,543
9/23/2019,Virgil / Vermont,Overland / Olympic,466,433
9/12/2019,Fountain / Figueroa,Virgil / Vermont,5,315
9/13/2019,Playa / Overland,Overland / Olympic,45,357
9/20/2019,Playa / Overland,Overland / Olympic,44,545
12/12/2019,Vermont / Venice,Overland / McConnell,17,611
12/30/2019,Runway / Rowena,Beatrice / 6th,5,361
11/9/2019,Vista / Virgil,Runway / Rowena,15,279
11/8/2019,Fountain / Figueroa,Culver / Charnock,11,440
12/23/2019,Beatrice / 6th,Overland / Olympic,20,399
10/11/2019,Vista / Virgil,Runway / Rowena,7,363
10/24/2019,Overland / McConnell,Runway / Rowena,35,611
12/16/2019,Figueroa / Durango,Olympic / McConnell,20,597
12/11/2019,Exposition / Culver,Vista / Virgil,153,565
12/13/2019,Virgil / Vermont,Wilcox / Vista,12,460
9/6/2019,Figueroa / Durango,Playa / Olympic,12,508
9/1/2019,Vermont / Venice,Figueroa / Culver,13,589
9/21/2019,Rowena / Rose,Beatrice / 6th,17,524
10/1/2019,Playa / Overland,Overland / McConnell,25,604
12/18/2019,Runway / Rowena,McConnell / Inglewood,11,363
12/26/2019,McConnell / McConnell,Overland / McConnell,27,522
11/26/2019,Vista / Virgil,Runway / Rowena,7,562
12/30/2019,Playa / Olympic,Runway / Rowena,16,432
12/20/2019,Overland / McConnell,Hollywood / Fountain,22,341
11/9/2019,Overland / Olympic,Playa / Overland,16,313
11/20/2019,Fountain / Durango,Wilcox / Vista,28,527
11/2/2019,Runway / Rowena,Westlawn / Vista,15,265
10/12/2019,Vermont / Venice,Virgil / Vermont,17,465
9/15/2019,Overland / Olympic,Virgil / Vermont,16,556
10/26/2019,Runway / Rowena,Rowena / Rose,13,549
10/23/2019,Runway / Rowena,Overland / Olympic,26,432
12/15/2019,Durango / Charnock,Durango / Charnock,109,375
11/19/2019,Playa / Overland,Overland / Olympic,84,469
12/14/2019,Fountain / Durango,Overland / Olympic,17,539
10/14/2019,Olympic / McConnell,Olympic / McConnell,151,381
11/30/2019,Ballona / Ardmore,Playa / Overland,16,345
12/16/2019,Ballona / Ardmore,Playa / Overland,15,492
10/5/2019,Overland / McConnell,Runway / Rowena,16,568
12/12/2019,Westlawn / Vista,Figueroa / Culver,11,443
12/1/2019,Culver / Berendo,Virgil / Vermont,10,334
10/6/2019,Ballona / Ardmore,Durango / Centinela,19,442
9/27/2019,Overland / Olympic,Westlawn / Vista,186,575
11/16/2019,Overland / Olympic,Overland / Olympic,190,432
12/29/2019,Hollywood / Fountain,Hollywood / Fountain,150,341
11/12/2019,Charnock / Beatrice,Rowena / Rose,29,347
9/15/2019,Wilcox / Vista,Figueroa / Durango,7,582
11/20/2019,Berendo / Beatrice,Runway / Rowena,22,488
9/2/2019,Rowena / Rose,Beatrice / 6th,19,347
12/18/2019,Fountain / Figueroa,Durango / Centinela,12,512
10/19/2019,Westlawn / Vista,Fountain / Durango,9,438
12/20/2019,Westlawn / Vista,Vista / Virgil,4,369
12/2/2019,Virgil / Vermont,Playa / Olympic,15,334
11/6/2019,Playa / Olympic,Runway / Rowena,13,329
11/20/2019,Playa / Overland,Runway / Rowena,8,290
12/3/2019,Beatrice / Ballona,Beatrice / Ballona,146,604
11/27/2019,Vermont / Venice,Figueroa / Durango,12,598
12/30/2019,Berendo / Beatrice,Durango / Centinela,9,615
12/2/2019,Virgil / Vermont,Culver / Berendo,26,556
10/20/2019,Charnock / Centinela,Charnock / Centinela,27,668
9/11/2019,Virgil / Vermont,Fountain / Figueroa,122,550
10/27/2019,Rowena / Rose,Runway / Rowena,12,402
9/24/2019,Runway / Rowena,Overland / Olympic,67,588
10/12/2019,Plaza / Overland,Figueroa / Durango,16,608
9/13/2019,Runway / Rowena,Beatrice / Ballona,10,291
10/30/2019,Runway / Rowena,Beatrice / Ballona,10,367
9/25/2019,Rodney / Playa,Ballona / 6th,27,658
11/15/2019,Rose / Rodney,Figueroa / Durango,13,570
11/18/2019,Charnock / Beatrice,McConnell / McConnell,11,378
12/6/2019,Runway / Rowena,Wilcox / Vista,49,290
11/1/2019,Ballona / Ardmore,Playa / Olympic,6,557
12/17/2019,Rowena / Rose,Runway / Rowena,28,492
12/14/2019,Playa / Overland,Overland / Olympic,10,267
9/9/2019,Playa / Overland,Overland / Olympic,10,603
11/22/2019,Rowena / Rodney,Rowena / Rodney,61,70
11/25/2019,Runway / Rowena,McConnell / McConnell,22,529
12/23/2019,Runway / Rowena,McConnell / McConnell,23,329
9/8/2019,Rowena / Rose,Rowena / Rose,5,345
12/7/2019,Wilcox / Vista,Overland / McConnell,19,624
10/10/2019,Wilcox / Vista,Overland / McConnell,19,460
10/8/2019,McConnell / Inglewood,Charnock / Beatrice,6,404
9/18/2019,Runway / Rowena,Plaza / Overland,18,415
12/11/2019,Rowena / Rose,McConnell / McConnell,17,612
11/3/2019,McConnell / McConnell,McConnell / McConnell,9,329
12/5/2019,Plaza / Overland,Plaza / Overland,4,413
10/18/2019,Charnock / Beatrice,Rose / Rodney,19,404
12/30/2019,Sepulveda / Rowena,Sepulveda / Rowena,6,658
11/5/2019,Overland / Olympic,Runway / Rowena,9,432
12/8/2019,Rowena / Rose,Overland / Olympic,35,380
9/23/2019,Durango / Charnock,Plaza / Overland,21,486
9/18/2019,Overland / Olympic,Vista / Virgil,14,611
11/23/2019,Playa / Overland,Runway / Rowena,8,522
10/29/2019,Runway / Rowena,Berendo / Beatrice,17,432
9/27/2019,Beatrice / 6th,Overland / Olympic,17,361
12/11/2019,Figueroa / Durango,Charnock / Beatrice,23,564
10/21/2019,Vista / Virgil,Runway / Rowena,21,318
11/25/2019,Charnock / Beatrice,Figueroa / Culver,10,359
10/29/2019,Vista / Virgil,Runway / Rowena,25,611
9/9/2019,Beatrice / 6th,Hollywood / Fountain,7,553
12/7/2019,Runway / Rowena,Overland / McConnell,14,522
10/25/2019,McConnell / McConnell,Rowena / Rose,24,529
9/7/2019,McConnell / McConnell,Rowena / Rose,22,387
11/17/2019,Hyperion / Hollywood,Virgil / Vermont,10,510
12/10/2019,Durango / Centinela,McConnell / McConnell,12,615
9/3/2019,Rose / Rodney,Playa / Overland,27,404
10/25/2019,Overland / McConnell,McConnell / Inglewood,24,386
10/7/2019,Overland / Olympic,Playa / Overland,8,361
10/22/2019,Virgil / Vermont,Vista / Virgil,159,315
12/6/2019,Berendo / Beatrice,Runway / Rowena,14,393
10/20/2019,Culver / Berendo,Virgil / Vermont,7,441
9/7/2019,Westlawn / Virgil,Rowena / Rodney,14,184
11/2/2019,Charnock / Beatrice,Virgil / Vermont,10,447
9/22/2019,Olympic / McConnell,Overland / McConnell,11,584
10/8/2019,Playa / Olympic,Durango / Centinela,6,557
11/17/2019,Overland / Olympic,Overland / Olympic,29,500
12/4/2019,Overland / McConnell,Durango / Centinela,7,554
11/24/2019,Runway / Rowena,Playa / Olympic,20,279
9/14/2019,Overland / Olympic,McConnell / McConnell,19,318
9/22/2019,Berendo / Beatrice,Rose / Rodney,17,421
12/25/2019,Berendo / Beatrice,Culver / Berendo,9,379
9/27/2019,Westlawn / Vista,Culver / Charnock,163,392
11/12/2019,Beatrice / Ballona,Overland / McConnell,7,280
12/3/2019,Ballona / 6th,Rodney / Playa,54,77
10/23/2019,Ballona / 6th,Rodney / Playa,52,200
11/23/2019,Runway / Rowena,Hollywood / Fountain,6,422
12/19/2019,Hyperion / Hollywood,Overland / Olympic,10,312
9/4/2019,Beatrice / 6th,Beatrice / 6th,65,339
11/18/2019,Virgil / Vermont,Charnock / Beatrice,11,617
12/18/2019,Virgil / Vermont,Charnock / Beatrice,11,441
12/18/2019,Virgil / Vermont,Rose / Rodney,211,568
9/14/2019,Virgil / Vermont,Rose / Rodney,212,510
9/1/2019,Virgil / Vermont,Rose / Rodney,213,552
10/25/2019,Westlawn / Vista,Westlawn / Vista,29,516
12/23/2019,Westlawn / Vista,Westlawn / Vista,29,270
10/15/2019,Rowena / Rose,Vista / Virgil,20,386
10/16/2019,Vista / Virgil,Wilcox / Vista,22,486
9/24/2019,Vista / Virgil,McConnell / Inglewood,7,565
12/20/2019,McConnell / McConnell,McConnell / Inglewood,9,277
10/29/2019,Culver / Berendo,Virgil / Vermont,9,436
12/26/2019,Rowena / Rose,McConnell / Inglewood,6,357
11/3/2019,Rose / Rodney,Wilcox / Vista,7,498
10/5/2019,Overland / McConnell,Runway / Rowena,13,541
10/28/2019,Plaza / Overland,Durango / Charnock,10,415
12/30/2019,Culver / Berendo,Beatrice / Ballona,7,379
9/14/2019,Beatrice / 6th,Ardmore / 6th,7,324
11/8/2019,Culver / Charnock,Overland / Olympic,14,599
12/9/2019,McConnell / Inglewood,Durango / Charnock,25,566
11/18/2019,Runway / Rowena,Runway / Rowena,6,528
10/7/2019,Overland / McConnell,McConnell / McConnell,9,406
11/18/2019,Runway / Rowena,Runway / Rowena,6,541
10/3/2019,Hyperion / Fountain,Hyperion / Fountain,2,239
9/6/2019,Overland / McConnell,Ballona / Ardmore,7,428
9/20/2019,Figueroa / Durango,Charnock / Beatrice,12,490
9/26/2019,Fountain / Figueroa,Wilcox / Vista,7,414
11/3/2019,Figueroa / Culver,Overland / Olympic,184,359
9/3/2019,Playa / Olympic,Berendo / Beatrice,7,586
9/28/2019,Playa / Olympic,Berendo / Beatrice,7,580
10/10/2019,Fountain / Figueroa,Vermont / Venice,4,550
10/19/2019,Rose / Rodney,Hyperion / Hollywood,21,333
9/21/2019,Inglewood / Hyperion,Exposition / Charnock,6,93
11/23/2019,Virgil / Vermont,Virgil / Vermont,394,387
10/15/2019,Culver / Centinela,Vermont / Sepulveda,9,102
11/14/2019,Exposition / Culver,Exposition / Culver,16,603
12/3/2019,Overland / McConnell,McConnell / McConnell,10,620
12/16/2019,Exposition / Culver,Exposition / Culver,36,518
10/28/2019,Overland / McConnell,McConnell / McConnell,11,537
10/12/2019,Wilcox / Vista,Playa / Olympic,12,371
11/14/2019,Figueroa / Durango,Charnock / Beatrice,10,582
9/13/2019,Virgil / Vermont,Figueroa / Durango,18,482
10/21/2019,Fountain / Figueroa,Wilcox / Vista,6,507
10/24/2019,Westlawn / Vista,McConnell / Inglewood,6,529
10/9/2019,Centinela / Berendo,Rowena / Rodney,18,654
12/1/2019,Plaza / Overland,Playa / Overland,17,271
12/7/2019,Rodney / Plaza,Centinela / Beatrice,29,217
9/6/2019,Culver / Berendo,Charnock / Beatrice,7,288
11/29/2019,Rodney / Plaza,Hyperion / Fountain,19,228
10/21/2019,Inglewood / Hyperion,Inglewood / Hyperion,61,118
10/25/2019,Durango / Charnock,Figueroa / Durango,6,507
10/18/2019,Ardmore / 6th,Ardmore / 6th,4,460
9/21/2019,Plaza / Overland,Charnock / Beatrice,17,413
12/11/2019,Rowena / Rose,Rowena / Rose,237,485
10/3/2019,Ardmore / 6th,Durango / Centinela,27,618
9/16/2019,Ballona / 6th,Culver / Centinela,5,185
10/9/2019,Runway / Rowena,Overland / Olympic,27,488
10/20/2019,Fountain / Figueroa,Wilcox / Vista,9,289
12/1/2019,Exposition / Culver,Figueroa / Durango,10,608
11/20/2019,Virgil / Vermont,Plaza / Overland,9,400
10/7/2019,Beatrice / 6th,Durango / Charnock,18,339
12/16/2019,Figueroa / Durango,Figueroa / Durango,292,608
10/18/2019,Vista / Virgil,Ballona / Ardmore,10,345
9/21/2019,Durango / Centinela,Beatrice / Ballona,7,267
10/6/2019,Sepulveda / Runway,Ballona / Ardmore,18,467
11/4/2019,Berendo / Beatrice,Ballona / Ardmore,10,446
9/5/2019,Playa / Olympic,Figueroa / Durango,14,585
12/28/2019,Fountain / Durango,Hollywood / Fountain,8,599
9/30/2019,Charnock / Beatrice,Charnock / Beatrice,242,413
10/1/2019,Overland / Olympic,Runway / Rowena,11,625
12/13/2019,Hollywood / Fountain,Beatrice / Ballona,31,493
9/11/2019,Rose / Rodney,Wilcox / Vista,8,376
11/13/2019,Rose / Rodney,Plaza / Overland,10,634
12/13/2019,Centinela / Berendo,Ballona / 6th,6,646
11/4/2019,Hyperion / Hollywood,Ardmore / 6th,8,338
9/2/2019,Ballona / Ardmore,Olympic / McConnell,8,348
10/5/2019,Plaza / Overland,Virgil / Vermont,10,571
11/21/2019,Hollywood / Fountain,Ardmore / 6th,10,473
10/5/2019,Figueroa / Durango,Plaza / Overland,6,494
12/30/2019,Vermont / Venice,Playa / Olympic,122,439
12/10/2019,Venice / Runway,Rowena / Rodney,20,64
10/9/2019,Figueroa / Culver,Ballona / Ardmore,18,606
10/22/2019,Wilcox / Vista,Rose / Rodney,14,342
12/9/2019,Overland / Olympic,Culver / Charnock,16,340
10/9/2019,Ballona / 6th,Venice / Sepulveda,8,653
9/7/2019,Vermont / Venice,Virgil / Vermont,10,311
10/29/2019,Durango / Charnock,Wilcox / Vista,23,375
9/22/2019,Playa / Olympic,Overland / McConnell,22,279
12/21/2019,Overland / Olympic,Figueroa / Durango,17,318
9/18/2019,Playa / Overland,McConnell / Inglewood,101,361
12/30/2019,Virgil / Vermont,Exposition / Culver,217,619
9/9/2019,Durango / Centinela,Overland / McConnell,20,557
12/10/2019,Vista / Vermont,Ballona / 6th,9,67
9/6/2019,Runway / Rowena,Overland / Olympic,20,603
9/19/2019,Ballona / Ardmore,Vista / Virgil,16,348
12/7/2019,Exposition / Culver,Durango / Charnock,116,518
12/1/2019,Olympic / McConnell,Figueroa / Durango,109,545
10/8/2019,Vista / Virgil,Overland / Olympic,27,627
12/15/2019,Culver / Berendo,Runway / Rowena,7,484
11/21/2019,Ballona / Ardmore,Figueroa / Durango,16,282
11/11/2019,Wilcox / Vista,Durango / Centinela,12,574
12/9/2019,Hollywood / Fountain,Overland / McConnell,16,500
12/15/2019,Beatrice / 6th,Vista / Virgil,10,580
11/18/2019,Hyperion / Hollywood,Culver / Charnock,14,333
9/17/2019,Overland / Olympic,Beatrice / Ballona,26,541
9/1/2019,Playa / Overland,Figueroa / Culver,8,480
9/10/2019,Inglewood / Hollywood,Berendo / Ballona,13,137
11/24/2019,Beatrice / 6th,Playa / Olympic,12,623
11/16/2019,Overland / McConnell,Charnock / Beatrice,17,390
10/4/2019,McConnell / Inglewood,Beatrice / Ballona,10,337
12/16/2019,Westlawn / Vista,Runway / Rowena,151,414
9/25/2019,Runway / Rowena,Runway / Rowena,41,412
12/28/2019,Vista / Virgil,Overland / McConnell,14,317
9/3/2019,Fountain / Figueroa,Ballona / Ardmore,13,524
9/23/2019,Ballona / 6th,Ballona / 6th,2,86
10/17/2019,Ballona / Ardmore,Figueroa / Durango,12,606
12/15/2019,Rowena / Rose,Vista / Virgil,16,626
12/29/2019,Figueroa / Durango,Rowena / Rose,14,282
10/25/2019,Charnock / Beatrice,Beatrice / Ballona,13,465
12/10/2019,Hollywood / Fountain,Overland / Olympic,28,553
11/15/2019,Culver / Berendo,Playa / Olympic,13,542
9/16/2019,Vista / Virgil,Beatrice / Ballona,14,421
10/1/2019,Charnock / Beatrice,Playa / Olympic,20,490
10/19/2019,Virgil / Vermont,Figueroa / Culver,7,362
12/2/2019,Beatrice / Ardmore,Inglewood / Hollywood,15,18
12/1/2019,Vista / Virgil,Beatrice / Ballona,24,479
10/20/2019,Overland / Olympic,McConnell / McConnell,17,553
11/2/2019,Virgil / Vermont,Exposition / Culver,25,612
9/25/2019,Durango / Centinela,Ballona / Ardmore,10,341
9/25/2019,Westlawn / Virgil,Venice / Runway,8,659
