Date,Factory,Market,Units
3/1/2012,Houston,Turkey,73
3/1/2012,Houston,United Kingdom,269
3/1/2012,Indianapolis,Australia,298
3/1/2012,Indianapolis,Brazil,55
3/1/2012,Indianapolis,Canada,169
3/1/2012,Indianapolis,China,112
3/1/2012,Indianapolis,France,25
3/1/2012,Indianapolis,Germany,43
3/1/2012,Indianapolis,India,207
3/1/2012,Indianapolis,Indonesia,121
3/1/2012,Indianapolis,Iran,294
3/1/2012,Indianapolis,Italy,165
3/1/2012,Indianapolis,Japan,57
3/1/2012,Indianapolis,Mexico,181
3/1/2012,Indianapolis,Netherlands,191
3/1/2012,Indianapolis,Poland,156
3/1/2012,Indianapolis,Russia,140
3/1/2012,Indianapolis,South Korea,71
3/1/2012,Indianapolis,Spain,182
3/1/2012,Indianapolis,Taiwan,130
3/1/2012,Indianapolis,Turkey,172
3/1/2012,Indianapolis,United Kingdom,203
3/1/2012,Jacksonville,Australia,65
3/1/2012,Jacksonville,Brazil,53
3/1/2012,Jacksonville,Canada,272
3/1/2012,Jacksonville,China,40
3/1/2012,Jacksonville,France,192
3/1/2012,Jacksonville,Germany,187
3/1/2012,Jacksonville,India,282
3/1/2012,Jacksonville,Indonesia,289
3/1/2012,Jacksonville,Iran,142
3/1/2012,Jacksonville,Italy,270
3/1/2012,Jacksonville,Japan,29
3/1/2012,Jacksonville,Mexico,83
3/1/2012,Jacksonville,Netherlands,165
3/1/2012,Jacksonville,Poland,88
3/1/2012,Jacksonville,Russia,258
3/1/2012,Jacksonville,South Korea,270
3/1/2012,Jacksonville,Spain,266
3/1/2012,Jacksonville,Taiwan,91
3/1/2012,Jacksonville,Turkey,93
3/1/2012,Jacksonville,United Kingdom,194
3/1/2012,Las Vegas,Australia,242
3/1/2012,Las Vegas,Brazil,230
3/1/2012,Las Vegas,Canada,275
3/1/2012,Las Vegas,China,178
3/1/2012,Las Vegas,France,79
3/1/2012,Las Vegas,Germany,117
3/1/2012,Las Vegas,India,157
3/1/2012,Las Vegas,Indonesia,74
3/1/2012,Las Vegas,Iran,225
3/1/2012,Las Vegas,Italy,155
3/1/2012,Las Vegas,Japan,198
3/1/2012,Las Vegas,Mexico,286
3/1/2012,Las Vegas,Netherlands,171
3/1/2012,Las Vegas,Poland,296
3/1/2012,Las Vegas,Russia,136
3/1/2012,Las Vegas,South Korea,170
3/1/2012,Las Vegas,Spain,252
3/1/2012,Las Vegas,Taiwan,154
3/1/2012,Las Vegas,Turkey,121
3/1/2012,Las Vegas,United Kingdom,234
3/1/2012,Los Angeles,Australia,45
3/1/2012,Los Angeles,Brazil,151
3/1/2012,Los Angeles,Canada,22
3/1/2012,Los Angeles,China,295
3/1/2012,Los Angeles,France,38
3/1/2012,Los Angeles,Germany,200
3/1/2012,Los Angeles,India,193
3/1/2012,Los Angeles,Indonesia,153
3/1/2012,Los Angeles,Iran,137
3/1/2012,Los Angeles,Italy,219
3/1/2012,Los Angeles,Japan,242
3/1/2012,Los Angeles,Mexico,143
3/1/2012,Los Angeles,Netherlands,201
3/1/2012,Los Angeles,Poland,37
3/1/2012,Los Angeles,Russia,106
3/1/2012,Los Angeles,South Korea,108
3/1/2012,Los Angeles,Spain,111
3/1/2012,Los Angeles,Taiwan,118
3/1/2012,Los Angeles,Turkey,69
3/1/2012,Los Angeles,United Kingdom,168
3/1/2012,Louisville-Jefferson County,Australia,206
3/1/2012,Louisville-Jefferson County,Brazil,182
3/1/2012,Louisville-Jefferson County,Canada,227
3/1/2012,Louisville-Jefferson County,China,146
3/1/2012,Louisville-Jefferson County,France,170
3/1/2012,Louisville-Jefferson County,Germany,214
3/1/2012,Louisville-Jefferson County,India,155
3/1/2012,Louisville-Jefferson County,Indonesia,134
3/1/2012,Louisville-Jefferson County,Iran,69
3/1/2012,Louisville-Jefferson County,Italy,223
3/1/2012,Louisville-Jefferson County,Japan,187
3/1/2012,Louisville-Jefferson County,Mexico,283
3/1/2012,Louisville-Jefferson County,Netherlands,283
3/1/2012,Louisville-Jefferson County,Poland,245
3/1/2012,Louisville-Jefferson County,Russia,111
3/1/2012,Louisville-Jefferson County,South Korea,298
3/1/2012,Louisville-Jefferson County,Spain,76
3/1/2012,Louisville-Jefferson County,Taiwan,106
3/1/2012,Louisville-Jefferson County,Turkey,34
3/1/2012,Louisville-Jefferson County,United Kingdom,228
3/1/2012,Memphis,Australia,69
3/1/2012,Memphis,Brazil,197
3/1/2012,Memphis,Canada,58
3/1/2012,Memphis,China,134
3/1/2012,Memphis,France,167
3/1/2012,Memphis,Germany,292
3/1/2012,Memphis,India,217
3/1/2012,Memphis,Indonesia,112
3/1/2012,Memphis,Iran,256
3/1/2012,Memphis,Italy,154
3/1/2012,Memphis,Japan,268
3/1/2012,Memphis,Mexico,188
3/1/2012,Memphis,Netherlands,235
3/1/2012,Memphis,Poland,177
3/1/2012,Memphis,Russia,78
3/1/2012,Memphis,South Korea,49
3/1/2012,Memphis,Spain,233
3/1/2012,Memphis,Taiwan,157
3/1/2012,Memphis,Turkey,26
3/1/2012,Memphis,United Kingdom,36
3/1/2012,Milwaukee,Australia,77
3/1/2012,Milwaukee,Brazil,185
3/1/2012,Milwaukee,Canada,170
3/1/2012,Milwaukee,China,123
3/1/2012,Milwaukee,France,186
3/1/2012,Milwaukee,Germany,254
3/1/2012,Milwaukee,India,228
3/1/2012,Milwaukee,Indonesia,225
3/1/2012,Milwaukee,Iran,146
3/1/2012,Milwaukee,Italy,277
3/1/2012,Milwaukee,Japan,44
3/1/2012,Milwaukee,Mexico,126
3/1/2012,Milwaukee,Netherlands,31
3/1/2012,Milwaukee,Poland,45
3/1/2012,Milwaukee,Russia,216
3/1/2012,Milwaukee,South Korea,118
3/1/2012,Milwaukee,Spain,147
3/1/2012,Milwaukee,Taiwan,45
3/1/2012,Milwaukee,Turkey,136
3/1/2012,Milwaukee,United Kingdom,158
3/1/2012,Nashville-Davidson,Australia,193
3/1/2012,Nashville-Davidson,Brazil,139
3/1/2012,Nashville-Davidson,Canada,200
3/1/2012,Nashville-Davidson,China,187
3/1/2012,Nashville-Davidson,France,195
3/1/2012,Nashville-Davidson,Germany,170
3/1/2012,Nashville-Davidson,India,152
3/1/2012,Nashville-Davidson,Indonesia,143
3/1/2012,Nashville-Davidson,Iran,176
3/1/2012,Nashville-Davidson,Italy,286
3/1/2012,Nashville-Davidson,Japan,186
3/1/2012,Nashville-Davidson,Mexico,100
3/1/2012,Nashville-Davidson,Netherlands,50
3/1/2012,Nashville-Davidson,Poland,242
3/1/2012,Nashville-Davidson,Russia,104
3/1/2012,Nashville-Davidson,South Korea,161
3/1/2012,Nashville-Davidson,Spain,283
3/1/2012,Nashville-Davidson,Taiwan,195
3/1/2012,Nashville-Davidson,Turkey,164
3/1/2012,Nashville-Davidson,United Kingdom,131
3/1/2012,New York,Australia,20
3/1/2012,New York,Brazil,52
3/1/2012,New York,Canada,296
3/1/2012,New York,China,145
3/1/2012,New York,France,164
3/1/2012,New York,Germany,159
3/1/2012,New York,India,112
3/1/2012,New York,Indonesia,176
3/1/2012,New York,Iran,36
3/1/2012,New York,Italy,30
3/1/2012,New York,Japan,187
3/1/2012,New York,Mexico,230
3/1/2012,New York,Netherlands,279
3/1/2012,New York,Poland,270
3/1/2012,New York,Russia,127
3/1/2012,New York,South Korea,79
3/1/2012,New York,Spain,233
3/1/2012,New York,Taiwan,184
3/1/2012,New York,Turkey,52
3/1/2012,New York,United Kingdom,97
3/1/2012,Philadelphia,Australia,88
3/1/2012,Philadelphia,Brazil,88
3/1/2012,Philadelphia,Canada,109
3/1/2012,Philadelphia,China,254
3/1/2012,Philadelphia,France,213
3/1/2012,Philadelphia,Germany,226
3/1/2012,Philadelphia,India,141
3/1/2012,Philadelphia,Indonesia,128
3/1/2012,Philadelphia,Iran,86
3/1/2012,Philadelphia,Italy,170
3/1/2012,Philadelphia,Japan,67
3/1/2012,Philadelphia,Mexico,237
3/1/2012,Philadelphia,Netherlands,286
3/1/2012,Philadelphia,Poland,119
3/1/2012,Philadelphia,Russia,148
3/1/2012,Philadelphia,South Korea,80
3/1/2012,Philadelphia,Spain,33
3/1/2012,Philadelphia,Taiwan,27
3/1/2012,Philadelphia,Turkey,90
3/1/2012,Philadelphia,United Kingdom,251
3/1/2012,Phoenix,Australia,299
3/1/2012,Phoenix,Brazil,277
3/1/2012,Phoenix,Canada,79
3/1/2012,Phoenix,China,143
3/1/2012,Phoenix,France,160
3/1/2012,Phoenix,Germany,66
3/1/2012,Phoenix,India,236
3/1/2012,Phoenix,Indonesia,225
3/1/2012,Phoenix,Iran,22
3/1/2012,Phoenix,Italy,237
3/1/2012,Phoenix,Japan,260
3/1/2012,Phoenix,Mexico,122
3/1/2012,Phoenix,Netherlands,25
3/1/2012,Phoenix,Poland,20
3/1/2012,Phoenix,Russia,106
3/1/2012,Phoenix,South Korea,47
3/1/2012,Phoenix,Spain,218
3/1/2012,Phoenix,Taiwan,291
3/1/2012,Phoenix,Turkey,279
3/1/2012,Phoenix,United Kingdom,151
3/1/2012,Portland,Australia,238
3/1/2012,Portland,Brazil,299
3/1/2012,Portland,Canada,28
3/1/2012,Portland,China,226
3/1/2012,Portland,France,92
3/1/2012,Portland,Germany,241
3/1/2012,Portland,India,65
3/1/2012,Portland,Indonesia,41
3/1/2012,Portland,Iran,30
3/1/2012,Portland,Italy,237
3/1/2012,Portland,Japan,228
3/1/2012,Portland,Mexico,274
3/1/2012,Portland,Netherlands,262
3/1/2012,Portland,Poland,89
3/1/2012,Portland,Russia,105
3/1/2012,Portland,South Korea,294
3/1/2012,Portland,Spain,97
3/1/2012,Portland,Taiwan,205
3/1/2012,Portland,Turkey,124
3/1/2012,Portland,United Kingdom,22
3/1/2012,San Antonio,Australia,95
3/1/2012,San Antonio,Brazil,80
3/1/2012,San Antonio,Canada,289
3/1/2012,San Antonio,China,194
3/1/2012,San Antonio,France,23
3/1/2012,San Antonio,Germany,167
3/1/2012,San Antonio,India,137
3/1/2012,San Antonio,Indonesia,98
3/1/2012,San Antonio,Iran,157
3/1/2012,San Antonio,Italy,181
3/1/2012,San Antonio,Japan,198
3/1/2012,San Antonio,Mexico,205
3/1/2012,San Antonio,Netherlands,279
3/1/2012,San Antonio,Poland,234
3/1/2012,San Antonio,Russia,231
3/1/2012,San Antonio,South Korea,226
3/1/2012,San Antonio,Spain,223
3/1/2012,San Antonio,Taiwan,165
3/1/2012,San Antonio,Turkey,119
3/1/2012,San Antonio,United Kingdom,242
3/1/2012,San Diego,Australia,152
3/1/2012,San Diego,Brazil,277
3/1/2012,San Diego,Canada,275
3/1/2012,San Diego,China,91
3/1/2012,San Diego,France,286
3/1/2012,San Diego,Germany,85
3/1/2012,San Diego,India,87
3/1/2012,San Diego,Indonesia,188
3/1/2012,San Diego,Iran,299
3/1/2012,San Diego,Italy,219
3/1/2012,San Diego,Japan,209
3/1/2012,San Diego,Mexico,84
3/1/2012,San Diego,Netherlands,101
3/1/2012,San Diego,Poland,178
3/1/2012,San Diego,Russia,142
3/1/2012,San Diego,South Korea,195
3/1/2012,San Diego,Spain,213
3/1/2012,San Diego,Taiwan,186
3/1/2012,San Diego,Turkey,259
3/1/2012,San Diego,United Kingdom,268
3/1/2012,San Francisco,Australia,98
3/1/2012,San Francisco,Brazil,263
3/1/2012,San Francisco,Canada,280
3/1/2012,San Francisco,China,52
3/1/2012,San Francisco,France,111
3/1/2012,San Francisco,Germany,68
3/1/2012,San Francisco,India,58
3/1/2012,San Francisco,Indonesia,205
3/1/2012,San Francisco,Iran,295
3/1/2012,San Francisco,Italy,254
3/1/2012,San Francisco,Japan,131
3/1/2012,San Francisco,Mexico,132
3/1/2012,San Francisco,Netherlands,153
3/1/2012,San Francisco,Poland,101
3/1/2012,San Francisco,Russia,90
3/1/2012,San Francisco,South Korea,127
3/1/2012,San Francisco,Spain,289
3/1/2012,San Francisco,Taiwan,234
3/1/2012,San Francisco,Turkey,155
3/1/2012,San Francisco,United Kingdom,164
3/1/2012,San Jose,Australia,203
3/1/2012,San Jose,Brazil,198
3/1/2012,San Jose,Canada,38
3/1/2012,San Jose,China,149
3/1/2012,San Jose,France,216
3/1/2012,San Jose,Germany,85
3/1/2012,San Jose,India,39
3/1/2012,San Jose,Indonesia,227
3/1/2012,San Jose,Iran,82
3/1/2012,San Jose,Italy,238
3/1/2012,San Jose,Japan,23
3/1/2012,San Jose,Mexico,112
3/1/2012,San Jose,Netherlands,247
3/1/2012,San Jose,Poland,112
3/1/2012,San Jose,Russia,40
3/1/2012,San Jose,South Korea,164
3/1/2012,San Jose,Spain,58
3/1/2012,San Jose,Taiwan,76
3/1/2012,San Jose,Turkey,43
3/1/2012,San Jose,United Kingdom,212
3/1/2012,Seattle,Australia,143
3/1/2012,Seattle,Brazil,92
3/1/2012,Seattle,Canada,253
3/1/2012,Seattle,China,178
3/1/2012,Seattle,France,200
3/1/2012,Seattle,Germany,271
3/1/2012,Seattle,India,24
3/1/2012,Seattle,Indonesia,269
3/1/2012,Seattle,Iran,46
3/1/2012,Seattle,Italy,204
3/1/2012,Seattle,Japan,33
3/1/2012,Seattle,Mexico,26
3/1/2012,Seattle,Netherlands,182
3/1/2012,Seattle,Poland,174
3/1/2012,Seattle,Russia,227
3/1/2012,Seattle,South Korea,42
3/1/2012,Seattle,Spain,31
3/1/2012,Seattle,Taiwan,193
3/1/2012,Seattle,Turkey,177
3/1/2012,Seattle,United Kingdom,245
3/1/2012,Washington,Australia,205
3/1/2012,Washington,Brazil,214
3/1/2012,Washington,Canada,165
3/1/2012,Washington,China,296
3/1/2012,Washington,France,165
3/1/2012,Washington,Germany,258
3/1/2012,Washington,India,166
3/1/2012,Washington,Indonesia,197
3/1/2012,Washington,Iran,287
3/1/2012,Washington,Italy,119
3/1/2012,Washington,Japan,244
3/1/2012,Washington,Mexico,174
3/1/2012,Washington,Netherlands,102
3/1/2012,Washington,Poland,264
3/1/2012,Washington,Russia,272
3/1/2012,Washington,South Korea,263
3/1/2012,Washington,Spain,159
3/1/2012,Washington,Taiwan,189
3/1/2012,Washington,Turkey,283
3/1/2012,Washington,United Kingdom,222
3/2/2012,Austin,Australia,254
3/2/2012,Austin,Brazil,97
3/2/2012,Austin,Canada,61
3/2/2012,Austin,China,202
3/2/2012,Austin,France,270
3/2/2012,Austin,Germany,33
3/2/2012,Austin,India,196
3/2/2012,Austin,Indonesia,109
3/2/2012,Austin,Iran,277
3/2/2012,Austin,Italy,156
3/2/2012,Austin,Japan,265
3/2/2012,Austin,Mexico,139
3/2/2012,Austin,Netherlands,191
3/2/2012,Austin,Poland,85
3/2/2012,Austin,Russia,199
3/2/2012,Austin,South Korea,161
3/2/2012,Austin,Spain,22
3/2/2012,Austin,Taiwan,201
3/2/2012,Austin,Turkey,253
3/2/2012,Austin,United Kingdom,201
3/2/2012,Baltimore,Australia,254
3/2/2012,Baltimore,Brazil,134
3/2/2012,Baltimore,Canada,59
3/2/2012,Baltimore,China,135
3/2/2012,Baltimore,France,196
3/2/2012,Baltimore,Germany,43
3/2/2012,Baltimore,India,83
3/2/2012,Baltimore,Indonesia,66
3/2/2012,Baltimore,Iran,239
3/2/2012,Baltimore,Italy,240
3/2/2012,Baltimore,Japan,238
3/2/2012,Baltimore,Mexico,44
3/2/2012,Baltimore,Netherlands,27
3/2/2012,Baltimore,Poland,106
3/2/2012,Baltimore,Russia,197
3/2/2012,Baltimore,South Korea,267
3/2/2012,Baltimore,Spain,43
3/2/2012,Baltimore,Taiwan,193
3/2/2012,Baltimore,Turkey,279
3/2/2012,Baltimore,United Kingdom,290
3/2/2012,Boston,Australia,20
3/2/2012,Boston,Brazil,225
3/2/2012,Boston,Canada,72
3/2/2012,Boston,China,155
3/2/2012,Boston,France,76
3/2/2012,Boston,Germany,184
3/2/2012,Boston,India,225
3/2/2012,Boston,Indonesia,21
3/2/2012,Boston,Iran,30
3/2/2012,Boston,Italy,211
3/2/2012,Boston,Japan,227
3/2/2012,Boston,Mexico,166
3/2/2012,Boston,Netherlands,141
3/2/2012,Boston,Poland,105
3/2/2012,Boston,Russia,197
3/2/2012,Boston,South Korea,259
3/2/2012,Boston,Spain,186
3/2/2012,Boston,Taiwan,109
3/2/2012,Boston,Turkey,28
3/2/2012,Boston,United Kingdom,31
3/2/2012,Charlotte,Australia,112
3/2/2012,Charlotte,Brazil,109
3/2/2012,Charlotte,Canada,144
3/2/2012,Charlotte,China,296
3/2/2012,Charlotte,France,136
3/2/2012,Charlotte,Germany,31
3/2/2012,Charlotte,India,161
3/2/2012,Charlotte,Indonesia,279
3/2/2012,Charlotte,Iran,222
3/2/2012,Charlotte,Italy,207
3/2/2012,Charlotte,Japan,48
3/2/2012,Charlotte,Mexico,277
3/2/2012,Charlotte,Netherlands,237
3/2/2012,Charlotte,Poland,216
3/2/2012,Charlotte,Russia,271
3/2/2012,Charlotte,South Korea,55
3/2/2012,Charlotte,Spain,296
3/2/2012,Charlotte,Taiwan,190
3/2/2012,Charlotte,Turkey,42
3/2/2012,Charlotte,United Kingdom,161
3/2/2012,Chicago,Australia,81
3/2/2012,Chicago,Brazil,257
3/2/2012,Chicago,Canada,37
3/2/2012,Chicago,China,282
3/2/2012,Chicago,France,57
3/2/2012,Chicago,Germany,293
3/2/2012,Chicago,India,242
3/2/2012,Chicago,Indonesia,74
3/2/2012,Chicago,Iran,109
3/2/2012,Chicago,Italy,135
3/2/2012,Chicago,Japan,271
3/2/2012,Chicago,Mexico,200
3/2/2012,Chicago,Netherlands,24
3/2/2012,Chicago,Poland,23
3/2/2012,Chicago,Russia,58
3/2/2012,Chicago,South Korea,262
3/2/2012,Chicago,Spain,280
3/2/2012,Chicago,Taiwan,294
3/2/2012,Chicago,Turkey,125
3/2/2012,Chicago,United Kingdom,115
3/2/2012,Columbus,Australia,110
3/2/2012,Columbus,Brazil,286
3/2/2012,Columbus,Canada,104
3/2/2012,Columbus,China,273
3/2/2012,Columbus,France,185
3/2/2012,Columbus,Germany,237
3/2/2012,Columbus,India,272
3/2/2012,Columbus,Indonesia,278
3/2/2012,Columbus,Iran,274
3/2/2012,Columbus,Italy,64
3/2/2012,Columbus,Japan,296
3/2/2012,Columbus,Mexico,67
3/2/2012,Columbus,Netherlands,295
3/2/2012,Columbus,Poland,94
3/2/2012,Columbus,Russia,251
3/2/2012,Columbus,South Korea,187
3/2/2012,Columbus,Spain,89
3/2/2012,Columbus,Taiwan,232
3/2/2012,Columbus,Turkey,127
3/2/2012,Columbus,United Kingdom,68
3/2/2012,Dallas,Australia,284
3/2/2012,Dallas,Brazil,105
3/2/2012,Dallas,Canada,112
3/2/2012,Dallas,China,231
3/2/2012,Dallas,France,198
3/2/2012,Dallas,Germany,280
3/2/2012,Dallas,India,140
3/2/2012,Dallas,Indonesia,69
3/2/2012,Dallas,Iran,129
3/2/2012,Dallas,Italy,244
3/2/2012,Dallas,Japan,261
3/2/2012,Dallas,Mexico,85
3/2/2012,Dallas,Netherlands,94
3/2/2012,Dallas,Poland,249
3/2/2012,Dallas,Russia,20
3/2/2012,Dallas,South Korea,28
